age,income,portfolio_value,emotional_score,risk_score,financial_score,horizon,past_loss_percent,panic_history,panic_sell
45.960569836134795,315133.8142533939,257857.23808001992,8.0,9.0,1.0,23.0,10.183299737594455,1.0,1
38.340828385945784,379743.1068463171,286328.0116060952,9.0,10.0,1.0,23.0,9.007534488522893,0.0,1
47.77226245720831,328177.35886665236,210483.39819555165,5.0,1.0,1.0,26.0,10.06098965811598,1.0,0
58.2763582768963,467525.4307104747,348983.2602563236,5.0,4.0,2.0,28.0,60.0,1.0,1
37.19015950331997,1207489.989057782,653669.5533894578,6.0,6.0,1.0,16.0,13.721625041551272,1.0,1
37.19035651660983,300883.6491805737,205400.7966878352,2.0,2.0,1.0,22.0,13.589541220963074,0.0,0
58.9505537860887,729715.6734898491,389381.6558275999,7.0,4.0,1.0,28.0,10.700114909890598,1.0,1
49.20921674983491,299288.7076197721,356966.41817052313,8.0,6.0,1.0,22.0,3.8203734648576138,1.0,1
34.366307368780575,289579.8602534009,215611.79961573775,5.0,4.0,2.0,20.0,14.58823037064984,1.0,1
46.51072052303158,666168.092735307,631720.7991953515,3.0,2.0,2.0,24.0,27.40180227354054,0.0,0
34.43898768625046,701494.3953735163,482492.10023928934,1.0,1.0,2.0,16.0,16.758350609074647,1.0,0
34.411242957156915,677188.5142031546,445074.1819673646,6.0,6.0,2.0,18.0,23.44901229493624,0.0,0
42.90354725879241,229142.94365292825,171817.65231717858,4.0,5.0,2.0,23.0,25.233179358995656,0.0,0
18.0,350467.9396566452,218669.9232949616,5.0,9.0,1.0,9.0,9.521471804347089,0.0,0
19.300986009843605,667633.2641534684,445189.1371938725,5.0,7.0,3.0,10.0,16.44782383205898,1.0,1
33.25254964910833,451698.82496687834,303808.88705467153,3.0,6.0,3.0,10.0,20.744062707243508,1.0,1
27.846026555986914,387944.93367273395,248625.26742837517,6.0,5.0,1.0,14.0,20.822693781744526,1.0,1
